"","coexpression_counts"
"AL662907.3",2
"ZNF362",54
"AL513327.3",0
"A3GALT2",0
"AL513327.1",0
"PHC2",151
"AL513327.2",0
"ZSCAN20",16
"CSMD2",10
"HMGB4",0
"CSMD2-AS1",0
"C1orf94",0
"SMIM12",159
"GJB5",0
"GJB4",0
"AL121988.1",0
"GJB3",0
"GJA4",2
"AL122010.1",0
"DLGAP3",2
"AC114490.3",21
"AC114490.2",0
"TMEM35B",0
"ZMYM6",54
"ZMYM1",90
"AL590434.1",0
"SFPQ",176
"ZMYM4",149
"ZMYM4-AS1",0
"KIAA0319L",122
"NCDN",64
"AC004865.2",4
"TFAP2E",2
"PSMB2",180
"C1orf216",60
"CLSPN",69
"AL354864.1",0
"AGO4",38
"AGO1",109
"AL139286.2",0
"AGO3",125
"AL138787.2",0
"TEKT2",0
"ADPRHL2",116
"COL8A2",1
"TRAPPC3",172
"MAP7D1",175
"THRAP3",179
"SH3D21",12
"EVA1B",180
"AL591845.1",14
"STK40",85
"LSM10",167
"OSCP1",61
"MRPS15",176
"CSF3R",0
"AL596257.1",0
"AC117945.2",0
"AC117945.1",0
"GRIK3",0
"AL031430.1",0
"AL353604.1",0
"LINC01137",76
"ZC3H12A",150
"MEAF6",155
"SNIP1",62
"DNALI1",61
"GNL2",137
"RSPO1",0
"C1orf109",84
"CDCA8",46
"EPHA10",0
"MANEAL",1
"AL929472.3",0
"YRDC",129
"C1orf122",180
"MTF1",91
"AL929472.2",1
"INPP5B",37
"SF3A3",169
"FHL3",147
"UTP11",169
"POU3F1",1
"AL139158.2",2
"AL139158.3",0
"LINC01343",0
"LINC01685",0
"AL354702.2",0
"RRAGC",149
"AL139260.1",47
"MYCBP",80
"AL139260.3",0
"GJA9",0
"RHBDL2",17
"AKIRIN1",161
"NDUFS5",180
"MACF1",174
"AL442071.1",0
"BMP8A",1
"PABPC4",170
"AL365277.1",0
"HEYL",0
"AL035404.2",0
"NT5C1A",0
"HPCAL4",0
"PPIE",142
"BMP8B",0
"OXCT2",1
"AL033527.3",0
"AL033527.5",1
"AL033527.4",0
"TRIT1",51
"MYCL",7
"AL033527.2",12
"MFSD2A",47
"CAP1",179
"PPT1",148
"RLF",113
"TMCO2",1
"AL050341.2",20
"ZMPSTE24",150
"COL9A2",3
"SMAP2",131
"AL031985.4",0
"ZFP69B",26
"ZFP69",11
"AL603839.3",9
"EXO5",30
"AL603839.1",0
"AL603839.2",0
"ZNF684",35
"RIMS3",2
"AL031289.1",0
"NFYC-AS1",4
"NFYC",87
"KCNQ4",0
"CITED4",60
"AC119677.1",0
"CTPS1",132
"SLFNL1-AS1",5
"SLFNL1",0
"SCMH1",69
"AC093151.3",0
"FOXO6",1
"AC093151.2",0
"EDN2",1
"HIVEP3",105
"AL445933.2",0
"AC119676.1",0
"GUCA2B",0
"GUCA2A",0
"FOXJ3",85
"RIMKLA",0
"ZMYND12",0
"PPCS",129
"CCDC30",6
"PPIH",153
"AC098484.2",4
"YBX1",180
"CLDN19",0
"P3H1",163
"C1orf50",54
"AC098484.3",0
"AC098484.1",0
"TMEM269",0
"SVBP",117
"ERMAP",23
"AL512353.1",17
"ZNF691",21
"SLC2A1",146
"SLC2A1-AS1",12
"AC099795.1",0
"FAM183A",1
"EBNA1BP2",177
"CFAP57",4
"TMEM125",0
"C1orf210",0
"TIE1",62
"MPL",0
"AL139289.2",4
"CDC20",70
"ELOVL1",167
"MED8",165
"AL139289.1",0
"SZT2",76
"SZT2-AS1",0
"HYI",129
"PTPRF",143
"AL451062.3",0
"KDM4A",83
"KDM4A-AS1",10
"ST3GAL3",46
"AL451062.1",0
"ARTN",1
"AL357079.1",4
"IPO13",87
"DPH2",70
"ATP6V0B",179
"B4GALT2",168
"CCDC24",26
"SLC6A9",34
"AL139220.2",21
"KLF17",0
"KLF18",0
"DMAP1",121
"ERI3",167
"RNF220",121
"TMEM53",42
"ARMH1",1
"KIF2C",51
"AL592166.1",3
"RPS8",180
"BEST4",0
"PLK3",138
"TCTEX1D4",4
"BTBD19",59
"PTCH2",2
"EIF2B3",135
"HECTD3",87
"UROD",174
"ZSWIM5",3
"LINC01144",1
"HPDL",10
"MUTYH",33
"TOE1",69
"TESK2",5
"CCDC163",13
"MMACHC",25
"PRDX1",180
"AKR1A1",173
"NASP",157
"CCDC17",3
"GPBP1L1",110
"TMEM69",89
"IPP",67
"MAST2",81
"PIK3R3",28
"AL358075.4",0
"AL358075.1",0
"AL358075.2",0
"TSPAN1",2
"AL672043.1",0
"POMGNT1",130
"LURAP1",26
"RAD54L",18
"LRRC41",157
"UQCRH",180
"NSUN4",64
"FAAH",0
"DMBX1",0
"AL136373.1",0
"MKNK1-AS1",0
"KNCN",0
"MKNK1",95
"MOB3C",22
"ATPAF1",116
"TEX38",0
"EFCAB14-AS1",0
"EFCAB14",152
"CYP4B1",0
"CYP4A11",0
"CYP4X1",3
"CYP4Z1",0
"CYP4A22-AS1",3
"CYP4A22",0
"LINC00853",5
"PDZK1IP1",6
"TAL1",0
"AL135960.1",0
"STIL",39
"CMPK1",162
"LINC01389",0
"FOXE3",0
"FOXD2-AS1",9
"FOXD2",0
"LINC01738",0
"TRABD2B",1
"AL691459.1",0
"AC096541.1",0
"AL356289.1",0
"AL356289.2",0
"AL109659.1",0
"SLC5A9",0
"AL109659.2",0
"SPATA6",63
"AGBL4",0
"BEND5",0
"AC099788.1",0
"AL590432.1",0
"ELAVL4",0
"AL592182.2",0
"AL592182.1",0
