Gene Names
IGF2
CO4A2
FAM3C
FBLN5
IBP3
CAD11
VIME
SPON2
TRY1
CO8A
CATD
RLA2
PP14B
FETA
CCN2
PPIA
CRIM1
POSTN
RL27A
FBLN2
MYZAP
TARSH
CO1A1
B4GA1
AMBP
PTGDS
SODM
IL6
ISLR
APOA1
COTL1
C1S
CD14
CXCL5
SMD3
K22E
TSP3
SYNC
RAB1A
ITIH3
HBB
SAP
TSP1
TICN1
CO3A1
LGUL
HNRPQ
CO7
HNRH1
ITM2B
RALA
GLOD4
TRFE
MIF
SOST
BGH3
NID2
1433T
CFAI
MGP
VTNC
ACTB
RB11B
EF1B
SNTB2
AHNK
CO3
RL22
COCA1
PZP
MA2B1
FCERG
COPD
INHBA
PEPD
PTPRK
GSTO1
PAPP1
GROA
K2C1
FAAA
GELS
CO4A
CAZA1
TPC6A
TRFL
PCD10
SPRC
C1R
VAPA
THBG
IBP2
LCAT
CO6A2
