"Gene","Correlation"
"CCDC184",0.135361451401094
"HSPB6",0.135201788140924
"MST1",0.134854424957085
"PLOD2",0.134834570566003
"SLC1A5",0.134657449836956
"PIN4",0.134608528174368
"RBP1",0.134571983951959
"LIMA1",0.134303162030043
"AP000866.1",0.13425040377703
"TIMM8B",0.134227746316333
"NPTN",0.134031368227542
"PXDN",0.133943892811238
"DDX1",0.1339192664579
"AC024896.1",0.133588519888833
"PAFAH1B2",0.133351551715078
"METRN",0.133300347384941
"KDELR1",0.133192678836654
"LTBP1",0.132892477957168
"BSG",0.132876102992303
"SLC35E1",0.132873578230331
"CDON",0.132775139419027
"SOX9",0.132686090245789
"SRRM3",0.132652376173284
"COL12A1",0.132640981158778
"LGALS8",0.132347269080466
"ADAM12",0.132032550429783
"RPN1",0.131946125714911
"ROBO1",0.131789939292604
"TMEM150C",0.131684117861676
"ZNF503",0.131667477932811
"CACNA2D3",0.131648275956324
"VAT1",0.131619583291255
"EIF3L",0.131515178152229
"TMEM184B",0.131348739253698
"RCN1",0.131310068813883
"KDELR3",0.130906900019295
"ITGA11",0.130780488692833
"S100A13",0.130624777254029
"C19orf53",0.13043257233619
"CNN2",0.130130162949487
"HLA-A",0.130002267500401
"RWDD2A",0.12984678973481
"LTBP2",0.12984591069682
"PDLIM2",0.129561935276702
"C3",0.129391920986048
"SETBP1",0.129348266755925
"PCLO",0.129325704960317
"HTRA2",0.129318328714299
"EPS8",0.129314090913754
"ZBTB1",0.129105089885387
"SEC24D",0.129003743044951
"SELENOM",0.128914507810048
"GRB14",0.128758711953652
"REX1BD",0.128527800493692
"ASAH1",0.128467319978038
"CTSF",0.128431018917333
"AL353194.1",0.128428532122588
"JCAD",0.128425798734405
"GGT5",0.128198580462523
"SEC62",0.128129849674441
"MYH10",0.127866996443848
"FKBP10",0.127852423600734
"IL1R1",0.127814665115415
"SWI5",0.127702434713281
"EPRS",0.1276289549027
"FGD2",0.127181392549271
"CARS",0.127161253304921
"NDUFB10",0.127142208313447
"NINJ2",0.127114129020366
"PAPPA2",0.126883000743447
"ZFP36L2",0.126759531262483
"ACTA2-AS1",0.126696958833531
"POLR3B",0.126695068808053
"MEIS3",0.126667125222412
"ABHD4",0.126601036317894
"PAPPA",0.126387675555355
"RHOQ",0.126325844691475
"ZFAS1",0.126267607842828
"NENF",0.126222790156356
"SERPINE2",0.125896732479963
"PRICKLE1",0.125873434555441
"CD81",0.12582866743781
"TOMM7",0.125731216593542
"SLC25A6",0.125647155345304
"AC105383.1",0.125643937973672
"TNFRSF1A",0.125610688480565
"ZMYM4",0.125561492406701
"NPB",0.125478527390143
"ITM2B",0.125373811148876
"MIB2",0.12533367746649
"WIPI1",0.125328224010968
"ARSI",0.125272601390108
"CCDC40",0.125222461268238
"B2M",0.125200183100888
"TGFBI",0.125153834999415
"MAP3K8",0.125139602468959
"COX5B",0.125080568926369
"HIF1A",0.125072796892237
"TPST1",0.125002007444089
"RNH1",0.124896371192845
"PDGFRB",0.12485023157753
"FYN",0.124823959795532
"LMO4",0.124765675136488
"ARIH1",0.124716510033658
"KCNG1",0.124677222595756
"LTBP3",0.124600137749586
"LAMP3",0.124361712778598
"YIF1A",0.124320907672516
"AL136115.2",0.124141330781743
"SERPINH1",0.124101403364827
"COL4A2",0.124076677076694
"SCCPDH",0.124015405844237
"LY6E",0.123993555550292
"SETD5",0.12398511707393
"EXPH5",0.123729790454381
"PNMA8A",0.123484292366525
"CLDN1",0.12343052659374
"AC022087.1",0.123404436157574
"RTL8C",0.123385405009429
"CCPG1",0.123369300854432
"TMEM179B",0.123213346020546
"PALM",0.123050725788814
"GLMP",0.123043540905495
"CHPF",0.122980933826474
"JARID2",0.12291857132655
"KDELR2",0.122861129974736
"ABHD3",0.122820900341841
"CHSY1",0.122787332310049
"LINC01133",0.12276400645915
"COX4I1",0.122758732826571
"SORBS3",0.122724645429374
"AQR",0.122706671485759
"AC013270.1",0.122670216794403
"GPC5",0.122636230382673
"ARHGAP20",0.122618982281072
"CANX",0.122609391255911
"RRBP1",0.122550926466837
"TMEM258",0.122539713477034
"MLF2",0.122358103517661
"CIR1",0.122261361922869
"AARSD1",0.122253332642712
"DONSON",0.122181880754487
"KIAA1549",0.122127156629441
"NDUFA4",0.122109940193133
"GHITM",0.121809823011032
"NDUFA2",0.121794818048543
"ATP6V1G1",0.121728062785811
"HS2ST1",0.121727903124716
"MGP",0.121700348125984
"ATRAID",0.121665904359564
"ALDH1L2",0.121619064329646
"UNC5B",0.121606300424244
"SRA1",0.121520111418131
"GFPT2",0.121447510078474
"LINC00526",0.121430419650199
"SMAD7",0.121424581867392
"LRRC73",0.121366409794533
"LITAF",0.121267086209309
"RNF167",0.121253916840389
"RDH10",0.121104988935442
"BEX1",0.121064563954846
"CUX1",0.121060495439314
"ANKK1",0.121058561774745
"ADAMTS2",0.121044628622874
"NFIX",0.121036758584589
"MAP2K3",0.121007703551927
"EEF1A1",0.120872647013195
"MYL6B",0.12086648202158
"HEXA",0.12085913049922
"YARS",0.120850532441948
"MMP2",0.120803082167743
"IRX2",0.120764001481712
"KIF6",0.120764001481712
"AL022238.3",0.120764001481712
"RPL4",0.120722210615334
"GAL3ST4",0.120556635648754
"ZMIZ1-AS1",0.120492512630894
"OSTC",0.120446691323985
"LTBR",0.120227987460106
"EIF2AK3",0.120226123624734
"NUPR1",0.120117176132546
"PIK3CD-AS2",0.120075121921169
"COL18A1",0.120046947806167
"GNAS",0.120038388093379
"SEC61A1",0.119979538775981
"EEF1D",0.119655983879957
"AL133367.1",0.119536689239214
"EIF4EBP1",0.119481930966934
"LINC02298",0.119381995568075
"ID3",0.11932328057333
"SAFB2",0.119321297742181
"BCL2L10",0.119286968936135
"AL355297.3",0.119133282555467
"ZBED1",0.119041493989001
"NOP10",0.119016603944475
"PRNP",0.118867334188933
"EFCAB14",0.118711541345046
"LINC00473",0.118649313024882
"GOLGB1",0.118639554908428
"PSAP",0.118562490551739
"ARID4A",0.118441609654222
"TAX1BP1",0.118436415374418
"PYCR1",0.118312861634248
"PNRC1",0.118196582515853
"UQCRH",0.118130208982384
"TRIL",0.117974751948866
"PHF20",0.117882376703037
"TMEM165",0.117763541403839
"YME1L1",0.117738848556572
"TSPAN13",0.11768740732435
"NRTN",0.117677785376731
"CAVIN3",0.117619057835364
"DOK6",0.117609865071534
"FAM222A",0.117504648696639
"NUCB1",0.117497150860352
"SSR1",0.11730691653665
"DNASE2",0.117282205793421
"ITGB1",0.117276051575754
"TMUB1",0.117250313175968
"TXNRD3",0.11722108829907
"POLR2A",0.117005050616883
"C5orf30",0.116890237863369
"SOCS5",0.116830119057272
"SNED1",0.116760200499924
"XBP1",0.116680411390258
"LINC01209",0.116678713878258
"RPL34",0.11666702704024
"SLC39A7",0.11661906158821
"HAS3",0.116596542104444
"AP001922.5",0.116588706480829
"MGMT",0.116531086398159
"ETFA",0.116500228282502
"PHB2",0.116470477974688
"HIGD2A",0.116334652515997
"ARMC10",0.116317571883184
"SLC46A3",0.1162413098685
"EXOC8",0.116233723692462
"EID1",0.116221720394564
"ERP29",0.116182144911557
"PRDX5",0.116120099521643
"BCAT1",0.116069279616233
"TMEM130",0.116059540348202
"EIF4G3",0.115954605153329
"SFT2D2",0.115926987431462
"NDUFA6",0.115867731142639
"MAGED2",0.115834686369907
"SLC7A8",0.115786967709943
"BPTF",0.115733611629903
"ATP1B1",0.115728376633834
"EIF3A",0.115692048998299
"SCRG1",0.115633156300692
"EIF2AK1",0.115625355220354
"ATP5F1D",0.115606552653138
"SYAP1",0.115540203166152
"SLC38A1",0.115533208352559
"QARS",0.115528896913602
"KRT10",0.115509072714344
"TMBIM6",0.115497292490188
"CNPY2",0.115476936582607
"NARS",0.115458702723512
"EVA1B",0.115443193484421
"CD63",0.115407889574428
"CCSER2",0.115364245878862
"KLHL25",0.115353578692749
"RGN",0.115343928642634
"EIF4B",0.115337351236476
"DOLK",0.115189228939126
"EEF1B2",0.115165929945491
"ENC1",0.115027075099651
"BEX3",0.114982854488377
"AL109955.1",0.114941849964276
"C11orf96",0.11491842470152
"PDIA6",0.114890997135972
"AC084756.1",0.114843822843263
"AC009108.3",0.114843822843263
"GARS",0.114789795187393
"WARS",0.114745077275167
"RPS28",0.114692675326179
"NRK",0.114684599540693
"MARCKSL1",0.114681236696339
"TRPV1",0.114634769465455
"FTH1",0.114474168735491
"CD58",0.114442381870324
"FAM45A",0.114416605231436
"CCDC8",0.114378782143235
"CAND1",0.114292784851883
"PPFIBP2",0.1141733085558
"GRINA",0.114169515134989
"MXD4",0.114087536425164
"ETFB",0.114067487908125
"PAPSS1",0.114050993130136
"B4GALT2",0.114050436598632
"SERF2",0.113894731512161
"ACTN1",0.113816184053268
"AGAP3",0.113802482225273
"TECR",0.113724913681429
"SEPT11",0.113713299439267
"LRP1",0.113707973087036
"MRPL41",0.113681087647995
"RPL35A",0.113654629969777
"FAAP20",0.113617751609135
"MAGI1",0.113571321924741
"MN1",0.113527619756912
"MEIS1",0.113517266109069
"CDC42EP3",0.113509535554722
"TENM4",0.1134747301629
"RAB11B",0.11344959521611
"NAT14",0.113390620711038
"PDCD6",0.113211214326739
"IST1",0.113209423325942
"ZC3H12B",0.113128536352156
"KTN1",0.113044707641663
"TESK1",0.113035170552629
"GREM2",0.113019046632268
"AL353768.1",0.113019046632268
"AL157935.2",0.113019046632268
"LINC01228",0.113019046632268
"NEUROD2",0.113019046632268
"COX7C",0.112907582063414
"KDM5B",0.112902238864522
"IER5L",0.112850960352986
